"spatialunit_uid","spatialunit_current_id","spatialunit_ontology","name","name_de","name_fr","name_it","country","canton","district","municipal","residence_area","neighborhood","region","zone","spatialunit_hist_id","canton_hist_id","district_hist_id","valid_from","valid_until"
"5242_A.ADM3",5242,Municipality,Balerna,Balerna,Balerna,Balerna,false,false,false,true,false,false,false,false,11707,21,10002,1960-01-01,2999-12-31
"3807_A.ADM3",3807,Municipality,Landarenca,Landarenca,Landarenca,Landarenca,false,false,false,true,false,false,false,false,11369,18,10165,1960-01-01,1979-12-31
"5796_A.ADM3",5796,Municipality,Peney-le-Jorat,Peney-le-Jorat,Peney-le-Jorat,Peney-le-Jorat,false,false,false,true,false,false,false,false,14554,22,10275,2006-09-01,2011-06-30
"3845_A.ADM3",3845,Municipality,Tschierv,Tschierv,Tschierv,Tschierv,false,false,false,true,false,false,false,false,14304,18,10260,2001-01-01,2008-12-31
"2764_A.ADM3",2764,Municipality,Biel-Benken,Biel-Benken,Biel-Benken,Biel-Benken,false,false,false,true,false,false,false,false,13827,13,10092,1994-01-01,2999-12-31
"5761_A.ADM3",5761,Municipality,Romainmôtier-Envy,Romainmôtier-Envy,Romainmôtier-Envy,Romainmôtier-Envy,false,false,false,true,false,false,false,false,14549,22,10276,2006-09-01,2999-12-31
"573_A.ADM3",573,Municipality,Brienz (BE),Brienz (BE),Brienz (BE),Brienz (BE),false,false,false,true,false,false,false,false,15146,2,10292,2010-01-01,2999-12-31
"44_A.ADM3",44,Municipality,Waltalingen,Waltalingen,Waltalingen,Waltalingen,false,false,false,true,false,false,false,false,10467,1,10082,1960-01-01,2018-12-31
"2783_A.ADM3",2783,Municipality,Burg im Leimental,Burg im Leimental,Burg im Leimental,Burg im Leimental,false,false,false,true,false,false,false,false,13841,13,10236,1994-01-01,2999-12-31
"2913_A.ADM3",2913,Municipality,Bibern (SH),Bibern (SH),Bibern (SH),Bibern (SH),false,false,false,true,false,false,false,false,11914,14,10090,1960-01-01,2008-12-31
"942_A.ADM3",942,Municipality,Thun,Thun,Thun,Thun,false,false,false,true,false,false,false,false,15339,2,10289,2010-01-01,2999-12-31
"6797_A.ADM3",6797,Municipality,Montmelon,Montmelon,Montmelon,Montmelon,false,false,false,true,false,false,false,false,13344,26,10226,1979-01-01,2008-12-31
"2103_A.ADM2",2103,District,Distretto di Leventina,Distretto di Leventina,Distretto di Leventina,Distretto di Leventina,false,false,true,false,false,false,false,false,10005,21,10005,1960-01-01,2999-12-31
"6741_A.ADM3",6741,Municipality,Le Bémont (JU),Le Bémont (JU),Le Bémont (JU),Le Bémont (JU),false,false,false,true,false,false,false,false,13299,26,10225,1979-01-01,2999-12-31
"1209_A.ADM4",1209,Residential Area,Gotthelf,Gotthelf,Gotthelf,Gotthelf,false,false,false,false,true,false,false,false,1209,12,,1948-01-01,2999-12-31
"901_A.ADM3",901,Municipality,Eggiwil,Eggiwil,Eggiwil,Eggiwil,false,false,false,true,false,false,false,false,15311,2,10287,2010-01-01,2999-12-31
"695_A.ADM3",695,Municipality,Lajoux (BE),Lajoux (BE),Lajoux (BE),Lajoux (BE),false,false,false,true,false,false,false,false,10977,2,10122,1960-01-01,1975-12-31
"1905_A.ADM2",1905,District,Bezirk Kulm,Bezirk Kulm,Bezirk Kulm,Bezirk Kulm,false,false,true,false,false,false,false,false,10022,19,10022,1960-01-01,2999-12-31
"624_A.ADM3",624,Municipality,Schlosswil,Schlosswil,Schlosswil,Schlosswil,false,false,false,true,false,false,false,false,15186,2,10288,2010-01-01,2017-12-31
"9052_A.ADM3",9052,Municipality,Zürichsee (SZ),Zürichsee (SZ),Zürichsee (SZ),Zürichsee (SZ),false,false,false,true,false,false,false,false,10265,5,10113,1960-01-01,2999-12-31
"811_A.ADM3",811,Municipality,Coeuve,Coeuve,Coeuve,Coeuve,false,false,false,true,false,false,false,false,11038,2,10147,1960-01-01,1978-12-31
"4756_A.ADM3",4756,Municipality,Schönholzerswilen,Schönholzerswilen,Schönholzerswilen,Schönholzerswilen,false,false,false,true,false,false,false,false,15415,20,10297,2011-01-01,2999-12-31
"5067_A.ADM3",5067,Municipality,Campello,Campello,Campello,Campello,false,false,false,true,false,false,false,false,11390,21,10005,1960-01-01,2012-03-31
"23_A.ADM3",23,Municipality,Berg am Irchel,Berg am Irchel,Berg am Irchel,Berg am Irchel,false,false,false,true,false,false,false,false,11855,1,10082,1960-01-01,2999-12-31
"4303_A.ADM3",4303,Municipality,Böttstein,Böttstein,Böttstein,Böttstein,false,false,false,true,false,false,false,false,11840,19,10016,1960-01-01,2999-12-31
"3254_A.ADM3",3254,Municipality,Oberriet (SG),Oberriet (SG),Oberriet (SG),Oberriet (SG),false,false,false,true,false,false,false,false,14402,17,10271,2003-01-01,2999-12-31
"4309_A.ADM3",4309,Municipality,Klingnau,Klingnau,Klingnau,Klingnau,false,false,false,true,false,false,false,false,12672,19,10016,1960-01-01,2999-12-31
"4091_A.ADM3",4091,Municipality,Auenstein,Auenstein,Auenstein,Auenstein,false,false,false,true,false,false,false,false,11681,19,10023,1960-01-01,2999-12-31
